audeur,chfgbp,cadjpy,,,audeur,Date,Time,Close,,chfgbp,Date,Time,Close,,cadjpy,Date,Time,Close
0.64094,0.70662,83.2284,,,,2016-02-18,08:00:00,0.64094,,,2016-02-18,08:00:00,0.70662,,,2016-02-18,08:00:00,83.2284
0.64127,0.70707,83.2542,,,,2016-02-18,08:05:00,0.64127,,,2016-02-18,08:05:00,0.70707,,,2016-02-18,08:05:00,83.2542
0.64115,0.70698,83.2013,,,,2016-02-18,08:10:00,0.64115,,,2016-02-18,08:10:00,0.70698,,,2016-02-18,08:10:00,83.2013
0.64196,0.70639,83.3316,,,,2016-02-18,08:15:00,0.64196,,,2016-02-18,08:15:00,0.70639,,,2016-02-18,08:15:00,83.3316
0.64205,0.70575,83.3616,,,,2016-02-18,08:20:00,0.64205,,,2016-02-18,08:20:00,0.70575,,,2016-02-18,08:20:00,83.3616
0.64182,0.70559,83.3502,,,,2016-02-18,08:25:00,0.64182,,,2016-02-18,08:25:00,0.70559,,,2016-02-18,08:25:00,83.3502
0.64169,0.70588,83.2988,,,,2016-02-18,08:30:00,0.64169,,,2016-02-18,08:30:00,0.70588,,,2016-02-18,08:30:00,83.2988
0.64195,0.70568,83.3438,,,,2016-02-18,08:35:00,0.64195,,,2016-02-18,08:35:00,0.70568,,,2016-02-18,08:35:00,83.3438
0.64188,0.70537,83.3832,,,,2016-02-18,08:40:00,0.64188,,,2016-02-18,08:40:00,0.70537,,,2016-02-18,08:40:00,83.3832
0.64214,0.70566,83.3391,,,,2016-02-18,08:45:00,0.64214,,,2016-02-18,08:45:00,0.70566,,,2016-02-18,08:45:00,83.3391
0.6422,0.70496,83.3314,,,,2016-02-18,08:50:00,0.6422,,,2016-02-18,08:50:00,0.70496,,,2016-02-18,08:50:00,83.3314
0.64192,0.70535,83.2874,,,,2016-02-18,08:55:00,0.64192,,,2016-02-18,08:55:00,0.70535,,,2016-02-18,08:55:00,83.2874
0.64191,0.705,83.2988,,,,2016-02-18,09:00:00,0.64191,,,2016-02-18,09:00:00,0.705,,,2016-02-18,09:00:00,83.2988
0.64201,0.70562,83.281,,,,2016-02-18,09:05:00,0.64201,,,2016-02-18,09:05:00,0.70562,,,2016-02-18,09:05:00,83.281
0.64087,0.7065,83.1501,,,,2016-02-18,09:10:00,0.64087,,,2016-02-18,09:10:00,0.7065,,,2016-02-18,09:10:00,83.1501
0.64142,0.70631,83.1636,,,,2016-02-18,09:15:00,0.64142,,,2016-02-18,09:15:00,0.70631,,,2016-02-18,09:15:00,83.1636
0.64174,0.70563,83.2333,,,,2016-02-18,09:20:00,0.64174,,,2016-02-18,09:20:00,0.70563,,,2016-02-18,09:20:00,83.2333
0.64118,0.70594,83.1514,,,,2016-02-18,09:25:00,0.64118,,,2016-02-18,09:25:00,0.70594,,,2016-02-18,09:25:00,83.1514
